                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96151,                 3.0435,                 1.1999,                0.00606,                0.96162,                0.34196,                0.27141,                0.56028,                 3.1726,                 1.0027,             0.00017148,             0.00017148,             0.00017148
                      2,                0.93971,                 2.2455,                 1.1648,                0.33284,                0.51547,                0.39744,                0.29564,                0.89528,                 3.1206,                 1.4277,             0.00035548,             0.00035548,             0.00035548
                      3,                0.98115,                  2.058,                 1.2024,                0.84435,                 0.2879,                 0.6087,                0.42526,                 1.1626,                 3.0913,                 1.8656,             0.00053764,             0.00053764,             0.00053764
                      4,                0.89959,                 1.7466,                   1.16,                0.61686,                0.33081,                0.59911,                0.43281,                 1.6052,                 2.8437,                 2.2487,             0.00071797,             0.00071797,             0.00071797
                      5,                0.91566,                 1.7933,                 1.1637,                0.75727,                0.50495,                 0.5986,                0.43572,                 1.3923,                 2.6102,                 2.0855,             0.00089645,             0.00089645,             0.00089645
                      6,                0.95385,                 1.7205,                 1.1826,                0.68035,                0.47296,                0.60701,                0.42267,                 1.4202,                 2.6109,                 2.2425,              0.0010731,              0.0010731,              0.0010731
                      7,                0.98087,                 1.6776,                 1.1871,                0.58387,                  0.498,                0.52841,                0.34181,                 1.4588,                 2.9448,                 2.3164,              0.0012479,              0.0012479,              0.0012479
                      8,                 1.0105,                 1.8055,                 1.2277,                 0.6145,                0.54708,                0.61318,                0.40914,                 1.2389,                 2.9595,                  1.659,              0.0013795,              0.0013795,              0.0013795
                      9,                 1.0113,                 1.6767,                 1.2021,                0.55764,                  0.604,                0.58272,                0.37311,                 1.3543,                 4.4122,                 2.0639,              0.0013724,              0.0013724,              0.0013724
                     10,                0.98844,                 1.6598,                  1.229,                0.65109,                 0.6239,                0.62074,                0.34857,                 1.4192,                 3.5534,                 2.3116,              0.0013653,              0.0013653,              0.0013653
                     11,                0.99035,                 1.5982,                 1.2198,                0.67285,                0.62864,                0.63436,                0.35867,                 1.4174,                 2.6591,                 2.0555,              0.0013583,              0.0013583,              0.0013583
                     12,                0.98557,                 1.5923,                 1.2087,                0.67674,                0.45151,                0.57487,                0.36964,                 1.5509,                 3.8844,                 2.3648,              0.0013512,              0.0013512,              0.0013512
                     13,                0.96673,                  1.519,                 1.1876,                0.81036,                0.65077,                0.75723,                0.45877,                 1.9883,                 1.9216,                 3.3257,              0.0013441,              0.0013441,              0.0013441
                     14,                0.97515,                 1.4904,                 1.1737,                0.74266,                0.66099,                0.78259,                0.44452,                 1.8608,                 3.6037,                 2.9414,               0.001337,               0.001337,               0.001337
                     15,                0.96947,                 1.4558,                 1.1926,                0.83498,                0.69089,                0.79444,                 0.5012,                 1.4873,                 2.1664,                 2.3377,                0.00133,                0.00133,                0.00133
                     16,                  0.921,                 1.4106,                 1.1289,                0.83226,                0.73785,                0.81356,                0.51049,                 1.3199,                 2.5964,                 1.9655,              0.0013229,              0.0013229,              0.0013229
                     17,                0.92352,                 1.2941,                 1.1473,                0.78482,                0.56176,                0.63577,                0.45253,                 1.4077,                 2.5661,                 1.8338,              0.0013158,              0.0013158,              0.0013158
                     18,                 0.8414,                 1.2236,                 1.1225,                0.65789,                0.45516,                0.54232,                0.36856,                 1.1953,                 2.9038,                 1.5975,              0.0013087,              0.0013087,              0.0013087
                     19,                0.90285,                 1.2593,                 1.1411,                0.59449,                0.51692,                0.53223,                0.32222,                 1.5937,                 2.6329,                 1.8423,              0.0013017,              0.0013017,              0.0013017
                     20,                0.88959,                 1.3026,                 1.1284,                0.81845,                 0.7748,                0.83742,                0.50374,                 1.3943,                 2.6471,                 1.8667,              0.0012946,              0.0012946,              0.0012946
                     21,                0.86478,                 1.2441,                 1.1154,                0.82478,                0.67349,                0.79793,                0.51891,                 1.8082,                 1.8235,                 2.2916,              0.0012875,              0.0012875,              0.0012875
                     22,                0.86556,                 1.2198,                 1.1174,                0.70139,                0.66265,                0.72172,                0.45595,                 2.0138,                 2.1364,                 2.5652,              0.0012805,              0.0012805,              0.0012805
                     23,                0.84477,                 1.2066,                 1.1261,                0.71469,                0.67464,                0.74547,                 0.4879,                  1.592,                 1.9493,                 2.2962,              0.0012734,              0.0012734,              0.0012734
                     24,                0.91464,                 1.2651,                  1.165,                0.73065,                0.65077,                0.68557,                0.43801,                 1.7914,                 1.8573,                 2.3286,              0.0012663,              0.0012663,              0.0012663
                     25,                 0.8867,                 1.1744,                  1.099,                0.70721,                0.70858,                0.71238,                0.43471,                 2.0465,                  2.177,                 2.9058,              0.0012592,              0.0012592,              0.0012592
                     26,                0.81273,                 1.0781,                 1.1033,                0.83819,                0.59496,                0.76978,                0.53155,                 1.4547,                 1.9944,                 1.8371,              0.0012522,              0.0012522,              0.0012522
                     27,                0.86065,                 1.1274,                 1.1037,                0.71072,                0.78241,                 0.7592,                0.53362,                0.95646,                 1.6642,                 1.4422,              0.0012451,              0.0012451,              0.0012451
                     28,                 0.8356,                 1.1056,                 1.0936,                0.82861,                0.69411,                0.80982,                0.58804,                 1.0887,                 1.7329,                 1.6272,               0.001238,               0.001238,               0.001238
                     29,                0.79649,                 1.0108,                 1.0876,                0.79933,                0.63928,                0.77495,                0.56442,                 1.3824,                 2.0997,                 1.8503,              0.0012309,              0.0012309,              0.0012309
                     30,                0.79353,                  1.029,                 1.0731,                0.83865,                0.71652,                0.83815,                0.62492,                 1.3034,                 1.6201,                 1.8396,              0.0012239,              0.0012239,              0.0012239
                     31,                0.85086,                  1.085,                 1.1121,                0.89086,                0.65595,                 0.7812,                0.59226,                0.99809,                 1.6164,                 1.4052,              0.0012168,              0.0012168,              0.0012168
                     32,                0.83713,                 1.1062,                 1.1285,                0.85187,                0.66454,                0.80809,                0.52662,                 1.3947,                 2.0092,                 1.7572,              0.0012097,              0.0012097,              0.0012097
                     33,                0.83632,                 1.0079,                 1.0817,                0.92308,                 0.5846,                0.72904,                0.52823,                 1.4132,                 2.4822,                 1.8931,              0.0012026,              0.0012026,              0.0012026
                     34,                0.80138,                0.97259,                 1.0736,                0.81945,                0.66528,                0.73571,                0.51815,                 1.3441,                 2.6278,                 1.9338,              0.0011956,              0.0011956,              0.0011956
                     35,                0.77339,                0.94789,                 1.0671,                0.74793,                0.77595,                0.81179,                0.61809,                 1.2708,                 1.4894,                 1.7551,              0.0011885,              0.0011885,              0.0011885
                     36,                 0.7895,                0.97949,                 1.0897,                0.75789,                0.75532,                 0.7833,                0.52724,                  1.311,                 1.6295,                 1.8516,              0.0011814,              0.0011814,              0.0011814
                     37,                0.73789,                0.91501,                 1.0586,                 0.6676,                0.65996,                0.66313,                0.44839,                 1.5563,                 1.7499,                 2.1209,              0.0011744,              0.0011744,              0.0011744
                     38,                0.74017,                0.87608,                 1.0485,                0.77666,                0.71789,                0.79795,                0.55124,                 1.4085,                  1.596,                 1.9747,              0.0011673,              0.0011673,              0.0011673
                     39,                0.76097,                0.96618,                 1.0609,                0.73078,                 0.7498,                0.77362,                0.58659,                 1.2687,                 1.8037,                 1.6664,              0.0011602,              0.0011602,              0.0011602
                     40,                0.76038,                0.89888,                 1.0573,                0.66777,                0.67523,                 0.6461,                0.46065,                 1.3852,                 1.7757,                 1.7811,              0.0011531,              0.0011531,              0.0011531
                     41,                0.78979,                0.87091,                 1.0579,                 0.8011,                0.61286,                0.75886,                0.57822,                 1.2448,                 1.8175,                 1.7644,              0.0011461,              0.0011461,              0.0011461
                     42,                0.78484,                0.87906,                 1.0663,                0.64917,                0.58516,                 0.6729,                0.51771,                 1.5077,                 2.1919,                 2.0133,               0.001139,               0.001139,               0.001139
                     43,                0.78885,                0.87487,                 1.0524,                0.76182,                0.65626,                0.76005,                0.52378,                 1.3866,                 1.8075,                 1.9071,              0.0011319,              0.0011319,              0.0011319
                     44,                0.74909,                 0.8599,                 1.0521,                0.80855,                0.72486,                0.81676,                0.61784,                 1.1383,                 2.0224,                  1.618,              0.0011248,              0.0011248,              0.0011248
                     45,                0.72018,                0.80765,                  1.035,                0.73266,                0.72111,                0.78935,                0.61228,                 1.2658,                  2.141,                 1.7508,              0.0011178,              0.0011178,              0.0011178
                     46,                 0.7156,                0.78467,                 1.0184,                0.82038,                0.63856,                0.76935,                0.58033,                 1.5732,                 1.9363,                  2.146,              0.0011107,              0.0011107,              0.0011107
                     47,                0.72108,                0.81641,                  1.033,                 0.7439,                0.75318,                0.82345,                0.57354,                 1.1681,                  1.465,                 1.9733,              0.0011036,              0.0011036,              0.0011036
                     48,                0.74341,                0.81934,                 1.0477,                0.82653,                0.69169,                0.80648,                0.60243,                 1.3223,                 1.3022,                 1.8902,              0.0010965,              0.0010965,              0.0010965
                     49,                0.68489,                0.77087,                 1.0199,                 0.9295,                0.72974,                0.82934,                 0.6148,                 1.3091,                 1.4797,                 1.6721,              0.0010895,              0.0010895,              0.0010895
                     50,                0.71936,                0.75846,                 1.0272,                0.89628,                0.80096,                0.89205,                0.67669,                0.95396,                 1.3954,                 1.3672,              0.0010824,              0.0010824,              0.0010824
                     51,                0.69367,                0.76479,                 1.0367,                0.92167,                0.73404,                0.85195,                0.64745,                0.88811,                 1.0718,                 1.2857,              0.0010753,              0.0010753,              0.0010753
                     52,                0.68555,                0.75995,                 1.0326,                0.88405,                0.76046,                0.87086,                0.65418,                 1.3297,                 1.3775,                 1.7997,              0.0010682,              0.0010682,              0.0010682
                     53,                0.70409,                0.78443,                 1.0132,                0.74969,                0.82566,                0.86959,                0.62723,                 1.3513,                 1.6426,                 1.7938,              0.0010612,              0.0010612,              0.0010612
                     54,                0.69509,                0.77255,                 1.0455,                0.86935,                0.73546,                0.87464,                 0.5724,                 1.3355,                 1.0571,                 1.7513,              0.0010541,              0.0010541,              0.0010541
                     55,                0.68311,                0.75145,                 1.0247,                0.88915,                0.75737,                0.88053,                0.64437,                  1.182,                 1.1139,                 1.9358,               0.001047,               0.001047,               0.001047
                     56,                0.70107,                0.76886,                 1.0323,                0.86955,                0.77613,                0.85607,                 0.6473,                 1.1807,                 1.2124,                 1.7271,                0.00104,                0.00104,                0.00104
                     57,                0.71686,                0.77704,                  1.044,                0.81408,                 0.7977,                0.85119,                0.66424,                 1.0349,                 1.2166,                 1.3776,              0.0010329,              0.0010329,              0.0010329
                     58,                  0.679,                0.77048,                 1.0083,                0.84613,                0.81601,                 0.8869,                0.68839,                0.81586,                0.87263,                 1.2428,              0.0010258,              0.0010258,              0.0010258
                     59,                0.66146,                0.74842,                 1.0279,                0.89337,                0.69778,                0.79132,                0.59174,                0.95825,                 1.0507,                 1.3802,              0.0010187,              0.0010187,              0.0010187
                     60,                0.67243,                0.75054,                  1.026,                0.78293,                0.77629,                0.83927,                0.66324,                 1.0367,                 1.0687,                 1.6341,              0.0010117,              0.0010117,              0.0010117
                     61,                0.65582,                 0.7041,                 1.0095,                0.91737,                0.81484,                0.90916,                0.68976,                0.93519,                 1.1049,                 1.5076,              0.0010046,              0.0010046,              0.0010046
                     62,                0.63452,                0.68198,                0.97242,                0.89362,                0.80514,                0.89791,                0.62876,                 1.0622,                 1.3156,                   1.78,             0.00099751,             0.00099751,             0.00099751
                     63,                0.65615,                0.68781,                 1.0077,                0.91996,                0.78788,                0.85863,                0.65716,                 1.1886,                 1.4438,                  1.504,             0.00099044,             0.00099044,             0.00099044
                     64,                0.66949,                 0.7082,                 1.0072,                0.95019,                0.78938,                0.88949,                0.71268,                0.88264,                 1.3891,                 1.2286,             0.00098337,             0.00098337,             0.00098337
                     65,                0.62284,                0.65481,                0.99724,                0.80018,                 0.7809,                0.80689,                0.62891,                 1.2188,                  1.645,                 1.6626,             0.00097629,             0.00097629,             0.00097629
                     66,                0.62539,                0.64464,                  1.002,                0.79347,                0.66787,                0.82363,                0.59143,                 1.4225,                 1.5603,                 1.9462,             0.00096922,             0.00096922,             0.00096922
                     67,                0.67264,                0.71046,                 1.0157,                 0.8137,                 0.6833,                0.76594,                0.57657,                 1.1227,                 1.9855,                 1.5325,             0.00096215,             0.00096215,             0.00096215
                     68,                0.63465,                0.66538,                0.97782,                0.85957,                0.59329,                0.76506,                 0.6053,                 1.0237,                 1.6597,                   1.46,             0.00095507,             0.00095507,             0.00095507
                     69,                0.63543,                0.65204,                0.98317,                0.86448,                 0.7212,                0.83478,                  0.659,                 1.0286,                 1.2311,                  1.448,               0.000948,               0.000948,               0.000948
                     70,                0.62586,                0.63166,                0.97317,                0.96462,                0.66518,                0.81992,                0.65528,                 1.2436,                 1.3564,                 1.5201,             0.00094093,             0.00094093,             0.00094093
                     71,                0.64394,                 0.6336,                0.99083,                0.83732,                0.67762,                0.80732,                0.60796,                 1.4366,                 1.2599,                 1.9256,             0.00093385,             0.00093385,             0.00093385
                     72,                0.64167,                0.66793,                0.98477,                0.90734,                0.76514,                0.90802,                0.72348,                 1.0224,                 1.1293,                 1.3832,             0.00092678,             0.00092678,             0.00092678
                     73,                0.64239,                0.63146,                 0.9756,                 0.7737,                0.86365,                0.90566,                 0.6954,                 1.0612,                0.85343,                 1.5977,              0.0009197,              0.0009197,              0.0009197
                     74,                0.62043,                0.62812,                 0.9945,                 0.8494,                0.74559,                0.87055,                0.61733,                 1.3203,                0.87732,                 2.0093,             0.00091263,             0.00091263,             0.00091263
                     75,                0.63574,                0.67463,                 1.0021,                0.84888,                0.64832,                0.80987,                0.60416,                 1.2452,                 1.0647,                  1.962,             0.00090556,             0.00090556,             0.00090556
                     76,                0.62098,                0.63296,                 0.9822,                0.87368,                0.72691,                0.83834,                0.61828,                 1.3792,                 1.2303,                 1.9921,             0.00089848,             0.00089848,             0.00089848
                     77,                0.58832,                0.62859,                  0.973,                0.78831,                0.66814,                0.80024,                0.62805,                 1.0084,                 1.0407,                  1.479,             0.00089141,             0.00089141,             0.00089141
                     78,                0.59068,                0.61223,                0.97799,                0.96829,                0.73137,                 0.8886,                0.68648,                0.75878,                0.89436,                 1.1176,             0.00088434,             0.00088434,             0.00088434
                     79,                0.59553,                0.58578,                0.97573,                0.98827,                0.73023,                0.87939,                0.70065,                0.79305,                 0.9997,                 1.1597,             0.00087726,             0.00087726,             0.00087726
                     80,                0.60889,                0.60046,                0.96648,                0.83943,                0.77077,                0.84973,                0.64765,                0.94262,                 1.0082,                 1.3166,             0.00087019,             0.00087019,             0.00087019
                     81,                0.58732,                0.59225,                0.96925,                0.89206,                0.80467,                0.87686,                0.66594,                0.93398,                0.95659,                 1.4029,             0.00086312,             0.00086312,             0.00086312
                     82,                0.59642,                0.56711,                0.96484,                0.85369,                0.72789,                0.82674,                0.62827,                0.95681,                 1.2729,                 1.5483,             0.00085604,             0.00085604,             0.00085604
                     83,                0.58268,                0.57235,                0.97336,                0.88415,                0.71863,                0.81426,                0.61384,                 1.0192,                 1.5905,                 1.5155,             0.00084897,             0.00084897,             0.00084897
                     84,                0.60001,                0.64522,                0.98513,                0.87717,                0.78149,                0.85368,                0.64366,                0.96594,                 1.0086,                 1.3676,              0.0008419,              0.0008419,              0.0008419
                     85,                0.61401,                0.62744,                 0.9904,                0.81052,                0.84465,                0.85742,                0.66546,                0.81018,                0.91219,                 1.2314,             0.00083482,             0.00083482,             0.00083482
                     86,                  0.579,                0.58904,                0.98205,                0.77375,                 0.8728,                0.86814,                0.66779,                0.85399,                0.93271,                 1.2724,             0.00082775,             0.00082775,             0.00082775
                     87,                0.59321,                0.58023,                0.97216,                0.80874,                0.79851,                0.86582,                0.65243,                0.82977,                0.76805,                 1.1886,             0.00082067,             0.00082067,             0.00082067
                     88,                  0.606,                0.58659,                0.97363,                0.84652,                0.72414,                0.84462,                0.62565,                0.93169,                0.82588,                 1.4258,              0.0008136,              0.0008136,              0.0008136
                     89,                0.59482,                 0.5508,                0.96465,                0.83443,                 0.8693,                0.89491,                 0.6657,                 1.0514,                0.91973,                 1.5437,             0.00080653,             0.00080653,             0.00080653
                     90,                0.56506,                0.57013,                0.95592,                0.88067,                 0.8379,                0.88522,                0.67168,                 1.1139,                0.96061,                 1.6355,             0.00079945,             0.00079945,             0.00079945
