                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99598,                 3.2546,                 1.1927,                0.00576,                0.94079,                 0.2571,                 0.1922,                 0.5755,                 3.1908,                0.97576,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                0.92816,                 2.7666,                 1.1624,                0.00586,                0.96875,                0.30445,                0.20855,                0.76917,                 3.1286,                 1.1633,             0.00018485,             0.00018485,             0.00018485
                      3,                0.91211,                 2.1665,                 1.1345,                0.50543,                0.22874,                0.46581,                0.32691,                0.76841,                 2.8804,                 1.1391,             0.00028297,             0.00028297,             0.00028297
                      4,                0.89068,                 1.9357,                 1.1286,                0.93441,                0.21505,                0.73809,                0.53128,                0.79393,                 2.6663,                 1.1594,              0.0003801,              0.0003801,              0.0003801
                      5,                0.90449,                  1.766,                 1.1235,                0.91802,                0.24979,                0.59195,                0.45637,                0.89959,                 2.8022,                 1.2228,             0.00047624,             0.00047624,             0.00047624
                      6,                0.90428,                 1.6783,                 1.1318,                0.69315,                0.41688,                0.52312,                0.38246,                 1.0339,                 2.5966,                 1.5985,             0.00057139,             0.00057139,             0.00057139
                      7,                0.85689,                 1.5628,                 1.1073,                0.72434,                0.45403,                0.54366,                0.40889,                   1.13,                 2.7412,                 1.4265,             0.00066555,             0.00066555,             0.00066555
                      8,                0.90205,                  1.588,                 1.1159,                 0.7262,                0.42467,                 0.5361,                0.38078,                 1.0208,                 2.4655,                  1.373,             0.00075872,             0.00075872,             0.00075872
                      9,                0.85184,                 1.5438,                 1.1153,                0.63454,                0.50102,                0.54761,                 0.3891,                0.99814,                 2.5113,                 1.4008,              0.0008509,              0.0008509,              0.0008509
                     10,                0.86872,                 1.5137,                  1.131,                0.44509,                0.44103,                0.53858,                0.37981,                 1.0155,                 2.5605,                 1.3418,             0.00094208,             0.00094208,             0.00094208
                     11,                0.85323,                 1.4982,                 1.1207,                0.73435,                0.30726,                0.52549,                0.35275,                0.99671,                 2.8165,                 1.3667,              0.0010323,              0.0010323,              0.0010323
                     12,                0.86411,                 1.4163,                 1.0943,                0.78521,                0.48638,                0.59444,                0.39507,                 1.1692,                 2.5633,                 1.5357,              0.0011215,              0.0011215,              0.0011215
                     13,                0.86829,                 1.3597,                 1.1238,                0.71159,                0.32439,                0.39849,                0.21763,                 1.4385,                 3.1936,                 1.7757,              0.0012097,              0.0012097,              0.0012097
                     14,                0.91849,                  1.406,                 1.1496,                0.58311,                0.40993,                0.45034,                0.21831,                 1.8336,                 3.0917,                  2.477,              0.0012969,              0.0012969,              0.0012969
                     15,                 0.8919,                 1.3587,                 1.1509,                0.85988,                0.29331,                0.48815,                0.30907,                 1.4061,                 2.8259,                 1.7632,                0.00133,                0.00133,                0.00133
                     16,                0.88416,                 1.3106,                 1.1431,                0.40257,                0.48637,                0.45764,                0.26097,                 1.4324,                 2.7836,                 1.7303,              0.0013229,              0.0013229,              0.0013229
                     17,                0.85426,                 1.2829,                 1.1263,                0.60418,                 0.4073,                0.44534,                 0.2331,                 1.5453,                 2.5804,                 1.8637,              0.0013158,              0.0013158,              0.0013158
                     18,                0.91218,                 1.3559,                 1.1393,                0.58319,                 0.4888,                0.52955,                 0.3192,                 1.3034,                 2.2786,                 1.6457,              0.0013087,              0.0013087,              0.0013087
                     19,                0.86283,                 1.2188,                 1.1276,                0.64274,                0.48727,                0.56761,                0.32482,                 1.2825,                 2.3011,                 1.5234,              0.0013017,              0.0013017,              0.0013017
                     20,                 0.8866,                 1.2813,                 1.1476,                0.66768,                0.56528,                0.60631,                0.35781,                 1.4277,                 2.4188,                 1.7601,              0.0012946,              0.0012946,              0.0012946
                     21,                0.90072,                 1.2285,                 1.1185,                0.74414,                0.46025,                0.58498,                0.35278,                 1.3474,                 2.0488,                 1.5823,              0.0012875,              0.0012875,              0.0012875
                     22,                 0.8383,                 1.1334,                  1.077,                0.58886,                0.43555,                 0.4946,                 0.2687,                 1.4245,                 2.6841,                 1.6489,              0.0012805,              0.0012805,              0.0012805
                     23,                0.85184,                 1.0791,                 1.1001,                  0.516,                0.38077,                0.32856,                0.20092,                 1.6456,                 3.2263,                 1.9679,              0.0012734,              0.0012734,              0.0012734
                     24,                0.84794,                 1.1064,                  1.092,                0.63101,                0.36409,                0.44787,                 0.2864,                 1.3522,                 2.5143,                 1.7618,              0.0012663,              0.0012663,              0.0012663
                     25,                 0.8276,                 1.0529,                 1.0921,                0.52387,                0.54404,                0.46447,                0.26771,                 1.2593,                 2.3259,                 1.5235,              0.0012592,              0.0012592,              0.0012592
                     26,                0.81642,                 1.0872,                 1.0874,                0.82055,                0.44396,                 0.6387,                0.41576,                 1.1756,                 2.2228,                 1.4403,              0.0012522,              0.0012522,              0.0012522
                     27,                0.85544,                 1.0543,                  1.123,                0.76464,                0.64719,                0.73508,                0.48471,                 1.1931,                 1.5462,                 1.4731,              0.0012451,              0.0012451,              0.0012451
                     28,                0.80358,                 1.0065,                 1.0537,                0.84389,                0.44231,                0.53933,                0.38923,                 1.3197,                 2.1338,                 1.6613,               0.001238,               0.001238,               0.001238
                     29,                0.76929,                0.94825,                  1.047,                0.58029,                0.54624,                0.53581,                0.35853,                 1.3498,                 2.3098,                 1.6888,              0.0012309,              0.0012309,              0.0012309
                     30,                0.81621,                 1.0196,                 1.0907,                0.68231,                0.65006,                0.67487,                0.45117,                 1.2862,                 1.8904,                 1.6124,              0.0012239,              0.0012239,              0.0012239
                     31,                0.78856,                0.95222,                 1.0857,                0.63403,                0.60698,                0.60082,                0.41676,                 1.2903,                 1.8879,                 1.6474,              0.0012168,              0.0012168,              0.0012168
                     32,                0.76233,                0.94442,                  1.039,                0.81597,                0.57973,                0.69343,                0.45901,                 1.1734,                 1.6935,                 1.6032,              0.0012097,              0.0012097,              0.0012097
                     33,                0.73657,                0.90424,                 1.0396,                0.69562,                  0.637,                0.67962,                0.47774,                 1.0595,                 1.7138,                 1.4533,              0.0012026,              0.0012026,              0.0012026
                     34,                0.76981,                0.92626,                 1.0694,                0.80122,                0.67428,                0.80152,                0.58912,                 1.0083,                 1.1983,                 1.3716,              0.0011956,              0.0011956,              0.0011956
                     35,                0.78867,                0.94065,                 1.0677,                0.68918,                0.70594,                0.65055,                0.46272,                 1.0902,                 1.5561,                 1.4166,              0.0011885,              0.0011885,              0.0011885
