                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99598,                 3.2546,                 1.1927,                0.00576,                0.94079,                 0.2571,                 0.1922,                 0.5755,                 3.1908,                0.97576,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                0.92738,                 2.7655,                 1.1623,                0.00585,                0.96875,                0.28962,                0.20097,                0.81292,                 3.1285,                 1.2092,             0.00018393,             0.00018393,             0.00018393
                      3,                0.90894,                 2.1624,                 1.1282,                0.00619,                0.96162,                0.49831,                0.37078,                0.74602,                 2.8607,                 1.1183,             0.00028014,             0.00028014,             0.00028014
                      4,                0.88257,                 1.9318,                 1.1174,                0.90504,                 0.1432,                0.63648,                0.45598,                0.83277,                  2.776,                 1.2071,             0.00037437,             0.00037437,             0.00037437
                      5,                0.92013,                 1.7494,                 1.1408,                0.81393,                0.28663,                0.57368,                0.38077,                 1.0825,                 3.0444,                 1.3914,             0.00046662,             0.00046662,             0.00046662
                      6,                0.89627,                 1.6893,                 1.1293,                0.75257,                0.28871,                0.55622,                0.35386,                 1.1301,                 2.8686,                  1.538,             0.00055689,             0.00055689,             0.00055689
                      7,                0.84895,                 1.5991,                   1.11,                0.65443,                0.47777,                0.52064,                0.35566,                 1.0559,                 2.6465,                 1.4711,             0.00064518,             0.00064518,             0.00064518
                      8,                0.88672,                 1.5964,                 1.1234,                0.72767,                0.51899,                0.59101,                0.42725,                 1.1305,                 2.4165,                 1.6079,             0.00073148,             0.00073148,             0.00073148
                      9,                0.82818,                 1.5652,                 1.1065,                0.75997,                 0.4453,                0.61009,                0.38371,                 1.2514,                 2.2729,                 1.6708,             0.00081581,             0.00081581,             0.00081581
                     10,                0.85622,                 1.5202,                 1.1135,                0.67437,                0.50081,                0.57098,                0.35951,                 1.2815,                 2.5103,                 1.6174,             0.00089816,             0.00089816,             0.00089816
                     11,                0.87573,                 1.5643,                 1.1343,                0.42897,                0.28929,                0.35508,                0.20484,                 1.5822,                 3.1592,                 1.9972,             0.00097852,             0.00097852,             0.00097852
                     12,                0.88035,                 1.4535,                  1.109,                0.52975,                0.40508,                0.47577,                 0.2931,                  1.307,                 2.7231,                 1.6875,              0.0010569,              0.0010569,              0.0010569
                     13,                0.85345,                 1.3516,                 1.1185,                0.72279,                 0.4325,                0.49258,                0.26889,                 1.3262,                 2.6153,                 1.7209,              0.0011333,              0.0011333,              0.0011333
                     14,                0.89934,                 1.3878,                 1.1337,                0.67568,                0.58352,                0.60451,                0.40242,                 1.3334,                 2.4978,                 1.6684,              0.0012077,              0.0012077,              0.0012077
                     15,                0.85515,                 1.3106,                 1.1275,                0.69723,                0.48528,                 0.5642,                0.36558,                 1.4383,                 2.6453,                 1.7905,              0.0012309,              0.0012309,              0.0012309
                     16,                0.87924,                 1.3643,                 1.1187,                0.87735,                 0.3384,                0.53041,                0.35165,                 1.2423,                 2.6302,                 1.6566,              0.0012168,              0.0012168,              0.0012168
                     17,                0.87903,                 1.3502,                  1.136,                0.37904,                0.48386,                0.47051,                 0.3311,                 1.2183,                 2.6312,                 1.6952,              0.0012026,              0.0012026,              0.0012026
